Site.Code,Site,Subsite,Sampling.Time,Site.Code.Sampling.Time,Month,Date.Collected,Date.Processed,Sample.Processed.by,Data.entered.by,Plot.ID,Unique.ID,Species,Taxa,Group,Type,Number.Shoots,Tin(g),Optional.Tin.Wet.Mass(g),Tin.Dry.Mass(g),Optional.Wet.Mass(g),Dry.Mass(g),Notes,Total seawater(ml),Filtered water(ml),Multiplier,Filter(g),Number.Leaves.Shoot.1
BB,BB.B,B,1,BB.1,July,8-Jul-14,8-Jul-14,N. Nichols,N. Nichols,18,BB.B.1.18,Zostera marina,Zostera,Seagrass,Seagrass,4,7.412,NA,13.997,NA,6.585,,,,,,
BB,BB.B,B,1,BB.1,July,8-Jul-14,8-Jul-14,N. Nichols,N. Nichols,19,BB.B.1.19,Zostera marina,Zostera,Seagrass,Seagrass,4,7.47,NA,10.895,NA,3.425,,,,,,
BB,BB.B,B,1,BB.1,July,8-Jul-14,8-Jul-14,N. Nichols,N. Nichols,20,BB.B.1.20,Zostera marina,Zostera,Seagrass,Seagrass,4,7.513,NA,12.421,NA,4.908,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",1,BC.A.1.1,Epibiota filter,Filter,Filter,Epibiota,4,0.0962,NA,0.129,NA,0.0328,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",2,BC.A.1.2,Epibiota filter,Filter,Filter,Epibiota,4,0.0962,NA,0.139,NA,0.0428,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",3,BC.A.1.3,Epibiota filter,Filter,Filter,Epibiota,4,0.0955,NA,0.155,NA,0.0595,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",4,BC.A.1.4,Epibiota filter,Filter,Filter,Epibiota,4,0.0958,NA,0.125,NA,0.0292,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",5,BC.A.1.5,Epibiota filter,Filter,Filter,Epibiota,4,0.0969,NA,0.138,NA,0.0411,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",6,BC.A.1.6,Epibiota filter,Filter,Filter,Epibiota,4,0.0965,NA,0.124,NA,0.0275,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",7,BC.A.1.7,Epibiota filter,Filter,Filter,Epibiota,4,0.0961,NA,0.141,NA,0.0449,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",8,BC.A.1.8,Epibiota filter,Filter,Filter,Epibiota,4,0.0978,NA,0.149,NA,0.0512,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",9,BC.A.1.9,Epibiota filter,Filter,Filter,Epibiota,4,0.0978,NA,0.113,NA,0.0152,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",10,BC.A.1.10,Epibiota filter,Filter,Filter,Epibiota,4,0.0962,NA,0.125,NA,0.0288,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",11,BC.A.1.11,Epibiota filter,Filter,Filter,Epibiota,4,0.0969,NA,0.105,NA,0.0081,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",12,BC.A.1.12,Epibiota filter,Filter,Filter,Epibiota,4,0.0964,NA,0.133,NA,0.0366,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",13,BC.A.1.13,Epibiota filter,Filter,Filter,Epibiota,4,0.0983,NA,0.126,NA,0.0277,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",14,BC.A.1.14,Epibiota filter,Filter,Filter,Epibiota,4,0.0966,NA,0.13,NA,0.0334,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",15,BC.A.1.15,Epibiota filter,Filter,Filter,Epibiota,4,0.0958,NA,0.109,NA,0.0132,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",16,BC.A.1.16,Epibiota filter,Filter,Filter,Epibiota,4,0.0976,NA,0.140,NA,0.0424,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",17,BC.A.1.17,Epibiota filter,Filter,Filter,Epibiota,4,0.0971,NA,0.113,NA,0.0162,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",18,BC.A.1.18,Epibiota filter,Filter,Filter,Epibiota,4,0.0968,NA,0.160,NA,0.0632,,,,,,
BC,BC.A,A,1,BC.1,May,16-May-14,17-May-14,"Hall, D","Yogendran, M",19,BC.A.1.19,Epibiota filter,Filter,Filter,Epibiota,4,0.0966,NA,0.127,NA,0.0304,,,,,,
